ID,EARK_ID,XPath,Level,Path,Section,Type,Description,Cardinality,Datatype,Name,Obligation,Vocabulary
FICP1,,,Package,/,general,General,"A SIP MUST contain content of exactly one digitised film, consisting of one or more image and/or audio reels.",,,,MUST,
FICP2,,,Package,/,general,General,"Each MKV, MOV, or set of scans (either in JPG and/or in PDF) contained in their respective representation directories MUST represent exactly one image or audio reel.",,,,MUST,
FICP3,,,Package,/metadata/preservation/premis.xml,general,General,"There MUST be exactly one IE present in the SIP, i.e. the digitised film.",,,,MUST,
FICP4,,,Package,/metadata/preservation/premis.xml,general,General,There MUST be preservation metadata at the package level in the `preservation/premis.xml` file.,,,,MUST,
FICP5,,,Representation,/metadata/preservation/premis.xml,general,General,There MUST be preservation metadata at the representation level in the respective `preservation/premis.xml` files.,,,,MUST,
FICP6,,,Package,/metadata/preservation/premis.xml,general,General,Preservation metadata in the SIP MUST be limited to the PREMIS metadata schema.,,,,MUST,
FICP7,,,Package,/metadata/preservation/premis.xml,md5,General,"The value of element `premis:premis/premis:object[@xsi:type=""premis:file""]/premis:objectCharacteristics/premis:fixity/premis:messageDigestAlgorithm` MUST be set to `MD5`.",,,,MUST,
FICP8,,,Package,/metadata/preservation/premis.xml,md5,General,"The value of attribute `premis:premis/premis:object[@xsi:type=""premis:file""]/premis:objectCharacteristics/premis:fixity/premis:messageDigestAlgorithm/@valueURI` MUST be set to `""http://id.loc.gov/vocabulary/preservation/cryptographicHashFunctions/md5""`.",,,,MUST,
FICP9,,,Package,,md5,General,The value of all `//*/@CHECKSUMTYPE` attributes in the `METS.xml` files MUST be set to `MD5`.,,,,MUST,
FICP10,,,Package,,general,General,Descriptive metadata about the IE MUST be specified at the package level in the `dc+schema.xml` file.,,,,MUST,
FICP11,,,Package,,general,General,Descriptive metadata about the carrier(s) (i.e. the reel(s)) MUST be specified at the package level in the `preservation/premis.xml` file.,,,,MUST,
FICP12,,,Package,,mets,General,The `/mets/@TYPE` attribute MUST be set to `Video – File-based and Physical Media`.,,,,MUST,
FICP13,,,Package,,mets,General,The `csip:CONTENTINFORMATIONTYPE` attribute MUST be set to `OTHER` and the `csip:OTHERCONTENTINFORMATIONTYPE` attribute MUST be set to `https://data.hetarchief.be/id/sip/2.1/film`.,,,,MUST,
FICP14,,,Package,,mets,General,The `mets/dmdSec/mdRef/@MDTYPE` attribute MUST be set to `OTHER` and the `mets/dmdSec/mdRef/@OTHERMDTYPE` MUST be set to `dc+schema`.,,,,MUST,
FICP15,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,A descriptive metadata file `descriptive/dc+schema.xml` describing the IE MUST be present at the package level.,,,,MUST,
FICP16,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,Descriptive metadata in the `descriptive/dc+schema.xml` MUST be limited to the DCTERMS and SCHEMA elements outlined in the [basic profile](https://developer.meemoo.be/docs/diginstroom/sip/2.1/profiles/basic.html#dc-requirements).,,,,MUST,
FICP17,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,The DCTERMS and SCHEMA metadata in the `descriptive/dc+schema.xml` file MUST follow the [basic profile requirements](https://developer.meemoo.be/docs/diginstroom/sip/2.1/profiles/basic.html#dc-requirements) regarding the use of elements and attributes.,,,,MUST,
FICP18,,`premis:premis/premis:object[@xsi:type='premis:representation']/premis:significantProperties/premis:significantPropertiesExtension[@xmlns:hasip='https://data.hetarchief.be/ns/sip/']`,Package,/metadata/preservation/premis.xml,premis,Element,This extension contains structural and descriptive metadata of the carrier representation. It must declare the `hasip` namespace.,1..1,,PREMIS significant properties extension,MUST,
