ID,EARK_ID,Type,Level,Path,Section,XPath,Description,Cardinality,Datatype,Name,Obligation,Vocabulary,Covered by XSD,Cardinality XSD
MSIP1,CSIPSTR4,General,Package,/,root,,The root directory MUST contain exactly one `METS.xml` file. The word `METS` in the filename MUST be written in all caps as displayed here.,,,,MUST,,,
MSIP2,CSIPSTR2,General,Package,/,root,,"The root directory MUST have the value of the `OBJID` attribute in the `METS.xml` header as its directory name. In the example tree structure above, that means that the `OBJID` attribute MUST be `uuid-e4eb34c0-4fc6-4395-b61c-0671f8e0b04c` since that is the name of the root directory. See [`mets/@OBJID`](#OBJID) for more details.",,,,MUST,,,
MSIP3,CSIPSTR5,General,Package,/,root,,The root directory MUST contain exactly one `/metadata` directory.,,,,MUST,,,
MSIP4,CSIPSTR9,General,Package,/,root,,The root directory MUST contain exactly one `/representations` directory.,,,,MUST,,,
MSIP5,CSIPSTR16,General,Package,/,root,,The root directory MAY contain exactly one `/documentation` directory.,,,,MAY,,,
MSIP6,CSIPSTR15,General,Package,/,root,,The root directory MAY contain exactly one `/schemas` directory.,,,,MAY,,,
MSIP7,,Element,Package,/METS.xml,mets,`/mets:mets`,This is the root element of the package METS.It MUST contain the following XML schema namespaces:[`mets: http://www.loc.gov/METS/`](http://www.loc.gov/METS/)[`csip: https://DILCIS.eu/XML/METS/CSIPExtensionMETS`](https://DILCIS.eu/XML/METS/CSIPExtensionMETS)[`xsi: http://www.w3.org/2001/XMLSchema-instance`](http://www.w3.org/2001/XMLSchema-instance)[`xlink: http://www.w3.org/1999/xlink`](http://www.w3.org/1999/xlink),1..1,,METS root element,MUST,,Yes,1..1
MSIP8,CSIP1,Attribute,Package,/METS.xml,mets,`/mets:mets/@OBJID`,This is the identifier for the METS document. Its value MUST be the same as the name used for the entire package folder.,1..1,[ID]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#id),Package identifier,MUST,,No,0..1
MSIP9,CSIP2,Attribute,Package,/METS.xml,mets,`/mets:mets/@TYPE`,This attribute MUST be set to declare the category of the content held in the SIP.Be aware of the difference between the required en dash character used below (`–`) vs. the regularly used hypen character (`-`) that is shorter.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Content category,MUST,"`Textual works – Print``Textual works – Digital``Textual works – Electronic Serials``Digital Musical Composition (score-based representations)``Musical Scores - Print``Musical Scores - Digital``Photographs – Print``Photographs – Digital``Other Graphic Images – Print``Other Graphic Images – Digital``Microforms``Audio – On Tangible Medium (digital or analog)``Audio – Media-independent (digital)``Motion Pictures – Digital and Physical Media``Video – File-based and Physical Media``Software``Software and Video Games``Email``Datasets``Geospatial Data``Geographic Information System (GIS) - Vector Data``GIS Raster and Georeferenced Images``GIS Vector and Raster Combined``Non-GIS Cartographic``2D and 3D Computer Aided Design``Design (schematics, architectural drawings) - Print``Scanned 3D Objects (output from photogrammetry scanning)``Databases``Websites``Web Archives``Collection``Event``Image``Interactive resource``Moving image``Sound``Still image``Text``Physical object``Service``Mixed``Other`",No,0..1
MSIP10,CSIP3,Attribute,Package,/METS.xml,mets,"`/mets:mets[@TYPE=""OTHER""]/@csip:OTHERTYPE`","When the `mets/@TYPE` attribute is set to ""OTHER"", the `mets/@csip:OTHERTYPE` attribute SHOULD be used to declare the content category of the package representation not contained in the fixed vocabulary of the `@TYPE` attribute.",0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Other content category,SHOULD,,Yes,
MSIP11,CSIP4,Attribute,Package,/METS.xml,mets,`/mets:mets/@csip:CONTENTINFORMATIONTYPE`,"This attribute must have the value ""OTHER"". The value of the `mets/@csip:OTHERCONTENTINFORMATIONTYPE` attribute describes the value of the profile of the meemoo SIP.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Content information type specification,MUST,`OTHER`,No,
MSIP12,CSIP5,Attribute,Package,/METS.xml,mets,"`/mets:mets[@csip:CONTENTINFORMATIONTYPE=""OTHER""]/@csip:OTHERCONTENTINFORMATIONTYPE`","This attribute is used to declare the Content Information Type Specification used when creating the SIP.Meemoo uses this attribute to indicate which of meemoo's content profiles a SIP uses. Its value MUST be a valid URI which can be found on the different content profile pages, e.g. the URI `https://data.hetarchief.be/id/sip/2.1/basic` for the basic content profile which can be found on [its content profile page]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/profiles/basic.md %}).ote that the sample above has the value of the basic profile as an example.",1..1,[URI]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#uri),Other content information type specification,MUST,`https://data.hetarchief.be/id/sip/2.1/basic``https://data.hetarchief.be/id/sip/2.1/bibliographic``https://data.hetarchief.be/id/sip/2.1/material-artwork``https://data.hetarchief.be/id/sip/2.1/film`,No,
MSIP13,CSIP6;SIP2,Attribute,Package,/METS.xml,mets,`/mets:mets/@PROFILE`,The URL of the E-ARK METS profile that the SIP conforms with.This URL MUST be set to [`https://earksip.dilcis.eu/profile/E-ARK-SIP.xml`](https://earksip.dilcis.eu/profile/E-ARK-SIP.xml) to indicate conformance with the E-ARK specification.,1..1,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),METS profile,MUST,,No,0..1
MSIP14,SIP1,Attribute,Package,/METS.xml,mets,`/mets:mets/@LABEL`,An optional short text describing the contents of the package.,0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Package name,MAY,,Yes,0..1
MSIP15,CSIP117,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr`,General element that contains descriptive information about the SIP.,1..1,,Package header,MUST,,No,0..1
MSIP16,CSIP7,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/@CREATEDATE`,This attribute records the date and time the SIP was created.,1..1,[XML Schema datetime]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#xsd-datetime),Package creation datetime,MUST,,No,0..1
MSIP17,CSIP8,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/@LASTMODDATE`,"In case the SIP was modified since its creation, this attribute records the date and time of that modification.This attribute MUST be present and filled in when the SIP has been modified since its creation datetime.",0..1,[XML Schema datetime]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#xsd-datetime),Package last modification datetime,SHOULD,,Yes,0..1
MSIP18,SIP3,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/@RECORDSTATUS`,"A way of indicating the status of the SIP and to instruct meemoo on how to properly handle it.If not set, the expected value is `NEW`.Meemoo investigates the use of the `@RECORDSTATUS` attribute for future use cases such as e.g. a metadata update (i.e. ingest of metadata only with the goal of updating, adding or deleting existing metadata in meemoo's archive system).",0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Package status,MAY,`NEW``SUPPLEMENT``REPLACEMENT``TEST``VERSION``DELETE``OTHER`,Yes,0..1 - vocabulary is EARK
MSIP19,CSIP9;SIP4,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/@csip:OAISPACKAGETYPE`,The value of `@csip:OAISPACKAGETYPE` MUST be set to `SIP` to indicate to meemoo that the delivered content is a SIP meant for ingest.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),OAIS Package type information,MUST,`SIP`,No,
MSIP20,CSIP10;CSIP13,Element,Package,/METS.xml,metsHdr,`mets/metsHdr/agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']`,A mandatory agent element records the software used to create the package.,1..1,,SIP creator software agent,MUST,,,
MSIP21,CSIP11,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/@ROLE`,The role of the SIP creator software agent.This value MUST be set to `CREATOR`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),SIP creator software agent role,MUST,`CREATOR`,,
MSIP22,CSIP12,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/@TYPE`,The type of the SIP creator software agent.This value MUST be set to `OTHER`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),SIP creator software agent type,MUST,`OTHER`,,
MSIP23,CSIP13,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/@OTHERTYPE`,"A specification of the type of the SIP creator software agent, indicating it being software.This value MUST be set to `SOFTWARE`.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),SIP creator software agent other type,MUST,,,
MSIP24,CSIP14,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/name`,This element records the name of the software tool used to create the SIP.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),SIP creator software agent name,MUST,,,
MSIP25,CSIP15,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/note`,The mandatory note element records the version of the software tool used to create the IP.It MUST have a `@csip:NOTETYPE` attribute with the value `SOFTWARE VERSION`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),SIP creator software agent additional information,MUST,,,
MSIP26,CSIP16,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @OTHERTYPE='SOFTWARE']/note[@csip:NOTETYPE='SOFTWARE VERSION']`,The value of this attribute MUST be set to `SOFTWARE VERSION` to denote the software version of the software being used.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Classification of the SIP creator software agent additional information,MUST,`SOFTWARE VERSION`,,
MSIP27,SIP9,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']`,A wrapper element that enables to encode the name of the person/people or CP that originally created the content being transferred. This can be different from the SP tasked with preparing and sending the SIP to meemoo (cf. 'submitting agent' below).,1..1,,Archival creator agent,MUST,,,
MSIP28,SIP10,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']/@ROLE`,The role of the person/people or CP responsible for the digital content.This value MUST be set to `ARCHIVIST`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Archival creator agent role,MUST,`ARCHIVIST`,,
MSIP29,SIP11,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']/@TYPE`,"The type of the archival creator agent. When the agent is a CP, this value MUST be set to `ORGANIZATION`.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Archival creator agent type,MUST,`ORGANIZATION`,,
MSIP30,CSIP14;SIP12,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']/name`,The name of the CP that originally created the digital content being transferred.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Archival creator agent name,MUST,,,
MSIP31,CSIP15;SIP13,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']/note`,The archival creator agent MAY have a note providing a unique identification code for the archival creator.,0..1,[OR-id]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#or-id),Archival creator agent additional information,MAY,,,
MSIP32,SIP14,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='ARCHIVIST']/note/@csip:NOTETYPE`,The archival creator agent note attribute value MUST be set to `IDENTIFICATIONCODE`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Classification of the archival creator agent additional information,MUST,`IDENTIFICATIONCODE`,,
MSIP33,SIP15,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']`,The name of the CP submitting the package to meemoo.,1..1,,Submitting agent,MUST,,,
MSIP34,SIP16,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']/@ROLE`,The role of the CP responsible for creating and/or submitting the SIP. This value MUST be set to `CREATOR`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Submitting agent role,MUST,`CREATOR`,,
MSIP35,SIP17,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']/@TYPE`,"The type of the submitting agent. When the agent is a CP, this value MUST be set to `ORGANIZATION`.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Submitting agent type,MUST,`ORGANIZATION`,,
MSIP36,CSIP14;SIP18,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']/name`,Name of the CP or individual submitting the SIP to meemoo.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Submitting agent name,MUST,,,
MSIP37,CSIP15;SIP19,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']/note`,The submitting agent MUST have a note providing a unique identification code.,1..1,[OR-id]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#or-id),Submitting agent additional information,MUST,,,
