ID,EARK_ID,XPath,Level,Path,Section,Type,Description,Obligation
MACP1,,,Package,/,general,General,There MUST be exactly one IE at the root. There MAY be other sub-IE's that are part of the root IE or other sub-IE's (e.g. to describe panels of a triptych individually).,MUST
MACP2,,,Package,/,general,General,"There MUST be at least one representation, but there MAY be multiple: either containing different captures or resolutions of the same IE or representing a different IE.",MUST
MACP3,,,Package,/representations,general,General,Each representation MUST contain at least one file.,MUST
MACP4,,,Package,/metadata/preservation/premis.xml,general,General,Preservation metadata MUST be limited to the PREMIS metadata schema.,MUST
MACP5,,,Package,/metadata/preservation/premis.xml,general,General,There MUST be preservation metadata at the package level in the `preservation/premis.xml` file.,MUST
MACP6,,,Representation,/metadata/preservation/premis.xml,general,General,There MUST be preservation metadata at the representation level in the `preservation/premis.xml` file.,MUST
MACP7,,,Package,/metadata/preservation/premis.xml,md5,General,"The value of element `premis:premis/premis:object[@xsi:type=""premis:file""]/premis:objectCharacteristics/premis:fixity/premis:messageDigestAlgorithm` MUST be set to `MD5`.",MUST
MACP8,,,Package,/metadata/preservation/premis.xml,md5,General,"The value of attribute `premis:premis/premis:object[@xsi:type=""premis:file""]/premis:objectCharacteristics/premis:fixity/premis:messageDigestAlgorithm/@valueURI` MUST be set to `""http://id.loc.gov/vocabulary/preservation/cryptographicHashFunctions/md5""`.",MUST
MACP9,,,Package,/METS.xml,mets,General,The `csip:CONTENTINFORMATIONTYPE` attribute MUST be set to `OTHER` and the `csip:OTHERCONTENTINFORMATIONTYPE` attribute MUST be set to `https://data.hetarchief.be/id/sip/2.1/material-artwork`.,MUST
MACP10,,,Package,/METS.xml,mets,General,The `TYPE` attribute in the `METS.xml` file MUST be set to `Photographs - Digital` (for 2D objects) or `Scanned 3D Objects (output from photogrammetry scanning)` (for 3D objects).,MUST
MACP11,,,Package,/METS.xml,mets,General,The `mets/dmdSec/mdRef/@MDTYPE` attribute MUST be set to `OTHER` and `mets/dmdSec/mdRef/@OTHERMDTYPE` attribute must be set to `DC+SCHEMA`.,MUST
MACP12,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,A descriptive metadata file `descriptive/dc+schema.xml` describing the IE MUST be present at the package level.,MUST
MACP13,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,A descriptive metadata file `descriptive/dc+schema.xml` describing the representation MAY be present at the representation level (e.g. to indicate diverting licenses).,MAY
MACP14,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,Descriptive metadata in `dc+schema.xml` MUST be limited to the [DCTERMS](https://www.dublincore.org/specifications/dublin-core/dcmi-terms/) and [SCHEMA](http://schema.org) elements outlined in the [basic profile]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/profiles/basic.md %}#dc-requirements).,MUST
MACP15,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,The [DCTERMS](https://www.dublincore.org/schemas/xmls/qdc/dcterms.xsd) and [SCHEMA](http://schema.org) metadata MUST follow the [basic profile requirements]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/profiles/basic.md %}#dc-requirements) regarding the use of elements and attributes.,MUST
MACP16,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,"Some descriptive metadata elements of datatype [String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string) MUST contain an attribute `@xml:lang` that indicates the language of the metadata element's value (in order to, for example, specify a title or description in multiple languages); these are indicated with `[@xml:lang=*]` in the table below. Other elements MUST NOT contain this attribute.",MUST
MACP17,,,Package,/metadata/descriptive/dc+schema.xml,descriptive,General,The value of the `@xml:lang` attribute MUST be a valid [IETF BCP 47 language tag](https://www.rfc-editor.org/info/bcp47)(see [here](https://www.iana.org/assignments/language-subtag-registry/language-subtag-registry) for a list).,MUST
